Time,Var,End
2022-11-10 00:59:01.828648,0.01,36.33
2022-11-10 01:05:35.373623,0.04,85.38
2022-11-10 01:17:07.855634,0.006,26.05
2022-11-10 01:32:10.001173,0.013,46.339999999999996
2022-11-10 01:33:25.709720,0.016,51.06
2022-11-10 01:40:05.877521,0.0,11.63
2022-11-10 01:42:33.661213,0.01,37.0
2022-11-10 01:48:54.195721,0.005,21.0
2022-11-10 01:54:34.118961,0.009,33.56
2022-11-10 01:56:45.068254,0.012,41.089999999999996
2022-11-10 02:03:56.036270,0.011,36.53
2022-11-10 02:04:34.043212,0.001,12.43
2022-11-10 02:04:45.879126,0.035,80.73
2022-11-10 02:06:33.630141,0.045,87.33999999999999
2022-11-10 02:19:59.488397,0.014,40.25
2022-11-10 02:20:19.763360,0.008,23.91
2022-11-10 02:20:58.950765,0.003,14.78
2022-11-10 02:22:05.142182,0.006,26.779999999999998
2022-11-10 02:24:22.944977,0.017,52.949999999999996
2022-11-10 02:31:59.604199,0.018,52.559999999999995
2022-11-10 02:32:48.343996,0.019,60.77
2022-11-10 02:34:36.041197,0.007,28.73
2022-11-10 02:35:54.620566,0.025,65.75
2022-11-10 02:40:06.614732,0.015,48.54
2022-11-10 02:44:50.799,0.009,33.53
2022-11-10 02:44:55.542056,0.02,60.629999999999995
2022-11-10 02:53:22.164633,0.03,74.7
2022-11-10 02:55:46.371471,0.04,85.38
2022-11-10 02:59:24.967658,0.002,15.76
2022-11-10 03:01:06.056452,0.004,20.24
2022-11-10 03:26:33.630967,0.05,88.89
2022-11-10 03:26:39.810588,0.012,41.089999999999996
2022-11-10 03:27:00.595515,0.018,52.51
2022-11-10 03:28:06.174582,0.011,36.53
2022-11-10 03:28:08.427048,0.017,53.190000000000005
2022-11-10 03:29:17.663503,0.0,11.4
2022-11-10 03:32:59.794520,0.019,60.41
2022-11-10 03:42:29.508877,0.005,21.0
2022-11-10 03:47:57.673520,0.014,40.25
2022-11-10 03:52:26.189285,0.016,51.29
2022-11-10 03:57:57.963857,0.025,65.67
2022-11-10 03:58:04.667380,0.035,80.91000000000001
2022-11-10 03:58:42.972482,0.03,75.18
2022-11-10 04:01:21.814472,0.013,45.86
2022-11-10 04:11:39.482009,0.001,12.740000000000002
2022-11-10 04:18:41.341787,0.045,87.42999999999999
2022-11-10 04:21:26.276898,0.05,88.56
2022-11-10 04:26:37.240321,0.006,26.779999999999998
2022-11-10 04:28:17.075255,0.01,36.33
2022-11-10 04:28:19.315265,0.015,48.54
2022-11-10 04:39:21.802489,0.009,33.53
2022-11-10 04:43:03.321091,0.02,60.629999999999995
2022-11-10 04:55:28.227998,0.002,15.76
2022-11-10 04:59:55.959778,0.008,23.06
2022-11-10 05:01:44.476716,0.007,29.270000000000003
2022-11-10 05:03:21.228906,0.04,85.38
2022-11-10 05:12:15.046944,0.004,20.24
2022-11-10 05:15:28.947997,0.003,15.160000000000002
2022-11-10 05:19:59.718464,0.014,41.089999999999996
2022-11-10 05:20:18.512707,0.011,36.53
2022-11-10 05:28:22.886900,0.016,51.339999999999996
2022-11-10 05:32:55.967627,0.013,45.86
2022-11-10 05:34:08.355089,0.017,53.190000000000005
2022-11-10 05:34:08.803293,0.012,41.089999999999996
2022-11-10 05:44:07.296674,0.005,20.849999999999998
2022-11-10 05:44:37.781306,0.0,11.63
2022-11-10 05:51:02.577853,0.01,37.0
2022-11-10 06:03:22.569766,0.02,61.19
2022-11-10 06:11:51.768454,0.025,65.81
2022-11-10 06:17:59.272427,0.03,75.18
2022-11-10 06:21:39.914083,0.035,80.73
2022-11-10 06:27:04.168889,0.019,60.77
2022-11-10 06:29:42.351764,0.018,52.559999999999995
2022-11-10 06:35:27.124469,0.05,88.56
2022-11-10 07:00:28.618790,0.045,87.72999999999999
2022-11-10 07:00:28.740524,0.015,48.54
2022-11-10 07:02:52.265531,0.04,85.38
